,dec_date,ex_date,rec_date,pay_date,dvd_amt,dvd_freq,dvd_type
IHG US Equity,2004-12-01,2004-12-13,2004-12-10,,0.892857,,Stock Split
ING US Equity,2001-06-25,2001-07-13,2001-06-29,2001-07-12,2.0,,Stock Split
ING US Equity,1996-05-13,1996-06-03,1996-05-31,1996-06-06,2.5,,Stock Split
NGG US Equity,2017-04-20,2017-05-22,,,0.916667,,Stock Split
NGG US Equity,2005-07-21,2005-08-01,,,0.877551,,Stock Split
NOK US Equity,2000-04-03,2000-04-11,2000-04-07,2000-04-10,4.0,,Stock Split
NOK US Equity,1999-03-31,1999-04-12,1999-04-08,1999-04-09,2.0,,Stock Split
NOK US Equity,1998-03-31,1998-04-16,1998-04-14,1998-04-15,2.0,,Stock Split
NOK US Equity,1995-04-04,1995-04-25,1995-04-21,1995-04-24,2.0,,Stock Split
NVS US Equity,2000-04-28,2000-05-11,2000-05-03,2000-05-10,2.0,,Stock Split
NVO US Equity,2023-08-23,2023-09-20,2023-09-14,2023-09-19,2.0,,Stock Split
NVO US Equity,2013-12-10,2014-01-09,2014-01-03,2014-01-08,5.0,,Stock Split
NVO US Equity,2007-11-26,2007-12-17,2007-11-30,2007-12-14,2.0,,Stock Split
NVO US Equity,2001-03-23,2001-04-11,2001-04-06,2001-04-10,2.5,,Stock Split
NVO US Equity,1994-04-01,1994-04-18,1994-04-08,1994-04-15,4.0,,Stock Split
NWG US Equity,2022-08-11,2022-08-30,,,0.928571,,Stock Split
NWG US Equity,2008-11-03,2008-11-07,,,0.05,,Stock Split
PHG US Equity,2000-07-17,2000-08-01,2000-07-31,,0.97,,Stock Split
PHG US Equity,2000-04-04,2000-04-18,2000-04-14,2000-04-17,4.0,,Stock Split
PHG US Equity,1999-05-20,1999-06-01,1999-05-28,1999-05-28,0.92,,Stock Split
PUK US Equity,2000-06-27,2000-06-28,2000-06-21,2000-06-27,2.5,,Stock Split
RELX US Equity,2015-06-30,2015-07-01,,,4.0,,Stock Split
RELX US Equity,2007-12-19,2008-01-07,,,0.865672,,Stock Split
RELX US Equity,1990-06-01,1990-06-18,1990-06-15,1990-06-15,0.25,,Stock Split
RELX US Equity,1986-08-01,1986-09-02,1986-08-29,1986-08-29,3.0,,Stock Split
RIO US Equity,2010-04-09,2010-04-30,2010-04-22,2010-04-29,4.0,,Stock Split
RIO US Equity,1988-07-01,1988-07-20,1988-07-19,1988-07-19,0.25,,Stock Split
RIO US Equity,1987-11-01,1987-11-04,1987-11-03,1987-11-03,2.5,,Stock Split
RTO US Equity,2001-11-06,2001-11-16,2001-11-14,2001-11-15,2.0,,Stock Split
RTO US Equity,1997-05-06,1997-05-19,1997-05-16,1997-05-19,2.0,,Stock Split
RYAAY US Equity,2015-10-09,2015-10-28,,,0.975,,Stock Split
RYAAY US Equity,2007-02-12,2007-02-28,2007-02-23,2007-02-27,2.0,,Stock Split
RYAAY US Equity,2001-12-07,2001-12-07,2001-12-06,2001-12-13,2.0,,Stock Split
RYAAY US Equity,2000-02-25,2000-02-28,2000-02-25,2000-02-28,2.0,,Stock Split
SAN US Equity,1999-06-07,1999-06-19,1999-06-11,1999-06-18,2.0,,Stock Split
SAN US Equity,1998-06-19,1998-07-06,1998-06-26,1998-07-02,2.0,,Stock Split
SAN US Equity,1997-05-14,1997-06-23,1997-06-06,1997-06-20,3.0,,Stock Split
SAP US Equity,1998-07-20,1998-07-28,1998-07-24,1998-07-27,4.0,,Stock Split
SNN US Equity,2014-10-01,2014-10-15,2014-10-13,2014-10-14,2.5,,Stock Split
SNN US Equity,2003-11-25,2003-12-16,2003-12-05,2003-12-15,2.0,,Stock Split
SNN US Equity,2000-07-27,2000-08-07,2000-08-07,,0.818182,,Stock Split
TS US Equity,2006-04-05,2006-04-27,2006-04-17,2006-04-26,5.0,,Stock Split
TTE US Equity,2006-02-17,2006-05-18,2006-05-17,2006-05-18,4.0,,Stock Split
UL US Equity,2025-12-08,2025-12-09,,,0.888889,,Stock Split
UL US Equity,2006-05-11,2006-05-25,2006-05-19,2006-05-24,1.8,,Stock Split
UL US Equity,1999-05-03,1999-05-10,1999-05-07,1999-05-07,0.892857,,Stock Split
UL US Equity,1997-09-23,1997-10-21,1997-10-10,1997-10-20,4.0,,Stock Split
UL US Equity,1987-06-01,1987-07-14,1987-06-29,1987-07-13,5.0,,Stock Split
VOD US Equity,2014-02-19,2014-02-24,,,0.545455,,Stock Split
VOD US Equity,2006-07-13,2006-07-31,2006-07-28,,1.0,,Stock Split
