,AZN US Equity,BCS US Equity,BP US Equity,BTI US Equity,DEO US Equity,GSK US Equity,HLN US Equity,HSBC US Equity,IHG US Equity,LYG US Equity,NGG US Equity,NWG US Equity,PSO US Equity,RELX US Equity,RIO US Equity,RTO US Equity,SHEL US Equity,SNN US Equity,UL US Equity,VOD US Equity,WPP US Equity,AZN LN Equity,BARC LN Equity,BATS LN Equity,BP/ LN Equity,DGE LN Equity,GSK LN Equity,HLN LN Equity,HSBA LN Equity,IHG LN Equity,LLOY LN Equity,NG/ LN Equity,NWG LN Equity,PSON LN Equity,REL LN Equity,RIO LN Equity,RTO LN Equity,SHEL LN Equity,SN/ LN Equity,ULVR LN Equity,VOD LN Equity,WPP LN Equity
2025-09-30,583580900.0,167182200.0,207351600.0,375985100.0,85639640.0,499713000.0,100437800.0,111246900.0,18563830.0,35115400.0,67047340.0,38059690.0,7117600.0,72003460.0,189467900.0,24132570.0,310112600.0,14014830.0,120138700.0,52162730.0,17227780.0,285562000.0,140396800.0,153481300.0,144802600.0,77573410.0,219621400.0,104097000.0,249426200.0,30253910.0,89443170.0,159208700.0,100678600.0,16115200.0,130382100.0,183132400.0,30797230.0,308854000.0,87823770.0,173484000.0,56510600.0,24258150.0
2025-10-01,1202024000.0,138013500.0,193568500.0,207540900.0,148253600.0,637643900.0,84483540.0,91311720.0,25792590.0,22388390.0,66397380.0,35199270.0,30065270.0,82739530.0,203149800.0,14222070.0,265427200.0,36553160.0,125891900.0,59540300.0,11961660.0,649622600.0,112550600.0,109349100.0,134183100.0,94652050.0,319313500.0,94168020.0,206188200.0,31500640.0,80400410.0,108119900.0,74138950.0,33810790.0,103427600.0,146835700.0,25530470.0,199694000.0,73838810.0,144862300.0,35981240.0,19730810.0
2025-10-02,455376100.0,152650900.0,195531800.0,196494000.0,97295770.0,588285800.0,71783340.0,68935860.0,24853320.0,34745660.0,43902770.0,38741760.0,6208741.0,81052840.0,187593700.0,13638670.0,267156200.0,19593080.0,102183900.0,59731340.0,7505682.0,343042800.0,81686920.0,178764500.0,112192000.0,62137780.0,235826000.0,62777000.0,135816100.0,34474580.0,83359010.0,82460320.0,56532220.0,13355390.0,122965200.0,107347400.0,20804120.0,157427500.0,78997490.0,96436140.0,54551910.0,16444750.0
2025-10-03,498702800.0,112471700.0,203752300.0,211089000.0,128384000.0,572541100.0,70422030.0,67894880.0,35336840.0,21395040.0,45756890.0,47961790.0,5606635.0,49492990.0,131210500.0,15265110.0,309124000.0,16704320.0,132042100.0,59674780.0,12766570.0,315864700.0,90012300.0,103150000.0,104433100.0,66286500.0,251219800.0,73895780.0,158723900.0,27187400.0,61506810.0,44777780.0,139090100.0,15556660.0,124935800.0,103160800.0,20589180.0,143337300.0,49538750.0,92948590.0,41860740.0,16825480.0
2025-10-06,547771600.0,122038300.0,215655200.0,199264400.0,174343000.0,282161700.0,73442200.0,70332660.0,12710740.0,33487990.0,49168280.0,47293420.0,7865462.0,88216370.0,171599800.0,16941800.0,297385900.0,18143620.0,118892300.0,54648770.0,14331460.0,289132000.0,128485100.0,152829000.0,139562500.0,73926420.0,178064600.0,52917480.0,176450100.0,25361880.0,93642800.0,59052290.0,120178000.0,18957560.0,141721700.0,93331970.0,21648540.0,167216500.0,89414980.0,121118900.0,42560450.0,15711540.0
2025-10-07,299773300.0,137146700.0,165995900.0,199380400.0,151134700.0,167846300.0,76684580.0,69763990.0,34194760.0,53030430.0,61582830.0,37405530.0,9614015.0,47270200.0,210499300.0,18689410.0,299182100.0,13832090.0,128028500.0,60155980.0,9251557.0,190128500.0,100307000.0,184808000.0,134904900.0,97256350.0,120082000.0,68895280.0,127745600.0,23412190.0,75305980.0,116928600.0,56212950.0,22811270.0,171506200.0,104176600.0,30626680.0,246450400.0,53950150.0,125056100.0,41530290.0,15362820.0
2025-10-08,567776600.0,101913600.0,177817800.0,163571800.0,109532000.0,128475600.0,145130400.0,79595810.0,13874550.0,41862980.0,38599560.0,46023690.0,8248975.0,59427310.0,221974000.0,14686880.0,248224800.0,15334890.0,106960900.0,42816560.0,7681254.0,336580400.0,137862800.0,172157000.0,122883300.0,54743410.0,127690900.0,130994600.0,154411300.0,23156950.0,167449700.0,133455000.0,76401400.0,24204850.0,110588100.0,151901100.0,29951510.0,200546100.0,26460450.0,109859300.0,37959760.0,15854950.0
2025-10-09,779688100.0,122968400.0,198321200.0,209360800.0,124308300.0,193656300.0,84166100.0,222068900.0,13619520.0,22588160.0,49870510.0,36756000.0,8352198.0,60118310.0,222651400.0,10904130.0,274996100.0,28588360.0,148502200.0,40551070.0,12868340.0,274407300.0,147938200.0,295252600.0,89310290.0,75195460.0,185848700.0,70925260.0,583287800.0,23704930.0,206593000.0,135571900.0,81959850.0,20180760.0,100019600.0,135188300.0,21288110.0,144025500.0,28198590.0,189668700.0,37533950.0,19489660.0
2025-10-10,1231287000.0,143163600.0,254569000.0,297169400.0,152539500.0,231050100.0,65561710.0,205011300.0,23104300.0,33550360.0,67779630.0,55906730.0,13632370.0,70373710.0,345508400.0,15308070.0,313699700.0,30623690.0,319367700.0,67528070.0,13228940.0,418918100.0,116313300.0,493295100.0,116035600.0,96171520.0,135255400.0,55312440.0,309630300.0,50155870.0,63216200.0,115995500.0,80985280.0,15507700.0,90932720.0,152905800.0,25842970.0,197466200.0,29233330.0,181202000.0,44871900.0,19371470.0
2025-10-13,506010600.0,107889400.0,131660600.0,165853300.0,91307940.0,137251700.0,84136030.0,114821200.0,21809070.0,25198610.0,36117880.0,42220580.0,11392820.0,46163340.0,315722400.0,8882896.0,190842500.0,25056190.0,226780400.0,46730940.0,11630270.0,183986900.0,95755280.0,150348000.0,116627100.0,61299820.0,111818100.0,60514850.0,203199600.0,27504700.0,66472030.0,86989860.0,67822410.0,15746930.0,74023880.0,110723600.0,13574270.0,146753300.0,33594950.0,130386100.0,39760880.0,13603150.0
2025-10-14,415190100.0,156985400.0,275901800.0,199728100.0,152944900.0,162432400.0,75677290.0,109365200.0,27811220.0,25458210.0,51226840.0,39479020.0,8576358.0,46313550.0,408688300.0,16498540.0,166280800.0,51851820.0,223424700.0,65828470.0,33647390.0,195286000.0,120454200.0,182046800.0,151457200.0,79313270.0,98122550.0,81805360.0,212735900.0,31660600.0,65010960.0,197940400.0,78349340.0,12610290.0,89590210.0,114917700.0,20610420.0,151992700.0,46187250.0,154358300.0,34850730.0,22650230.0
