id,shares,source,sedol,name,as_of_date,currency,country,adr,adr_price,adr_turnover,turnover_usd,exchange,ratio,price_usd
S32 AU Equity,1210554.0,ETF,BWSW5D9,South32 Ltd,2025-09-25,AUD,AUSTRALIA,SOUHY US Equity,8.81,976788.956923077,47471689.70149254,XASX,0.020576241609793933,1.74044
SAABB SS Equity,82172.0,ETF,BPXZH27,Saab AB,2025-09-25,SEK,SWEDEN,SAABY US Equity,30.95,2945123.076923077,149288410.8955224,XSTO,0.019727740815622882,60.60702
SAB SM Equity,1290333.0,ETF,B1X8QN2,Banco de Sabadell SA,2025-09-25,EUR,SPAIN,BNDSY US Equity,7.6,9580.91813559322,54643726.41791045,XMAD,0.000175334274648826,3.80825
SABB AB Equity,248221.0,ETF,B12LSY7,Saudi Awwal Bank,2025-09-25,SAR,SAUDI ARABIA,,,,16908429.015151516,XSAU,,8.4682
SABIC AB Equity,232184.0,ETF,B1324D0,Saudi Basic Industries Corp,2025-09-25,SAR,SAUDI ARABIA,,,,30735012.636363637,XSAU,,16.06452
SAF FP Equity,90661.0,ETF,B058TZ6,Safran SA,2025-09-25,EUR,FRANCE,SAFRY US Equity,86.73,22226599.52307692,150579595.2238806,XPAR,0.1476069814773415,341.02661
SAFCO AB Equity,65988.0,ETF,B1323K0,SABIC Agri-Nutrients Co,2025-09-25,SAR,SAUDI ARABIA,,,,19125332.681818184,XSAU,,31.59579
SAGAB SS Equity,57164.0,ETF,B9M3PK4,Sagax AB,2025-09-25,SEK,SWEDEN,SAGXY US Equity,,,5265169.044776119,XSTO,,20.27284
SAHOL TI Equity,236744.0,ETF,B03N0C7,Haci Omer Sabanci Holding AS,2025-09-25,TRY,TURKEY,HOSZY US Equity,,,61562990.90909091,XIST,,2.19157
SAL AB Equity,5985.0,ETF,BS82YJ0,SAL Saudi Logistics Services,2025-09-25,SAR,SAUDI ARABIA,,,,5549047.348484849,XSAU,,48.39355
SALIK UH Equity,469021.0,ETF,BJN5952,Salik Co PJSC,2025-09-25,AED,UAE,,,,8814775.892307693,XDFM,,1.60904
SALM NO Equity,17034.0,ETF,B1W5NW2,Salmar ASA,2025-09-25,NOK,NORWAY,SALRY US Equity,13.45,299882.05415384617,12924094.268656716,XOSL,0.023203332312509883,54.50704
SAMPO FH Equity,590564.0,ETF,BMXX645,Sampo Oyj,2025-09-25,EUR,FINLAND,SAXPY US Equity,22.8799,829159.0553846153,30091817.91044776,XHEL,0.027554302563313548,11.08978
SAN FP Equity,279956.0,ETF,5671735,Sanofi SA,2025-09-25,EUR,FRANCE,SNY US Equity,45.755,122513366.61538461,177892651.3432836,XPAR,0.6886926789289779,90.47359
SAN SM Equity,3824558.0,ETF,5705946,Banco Santander SA,2025-09-25,EUR,SPAIN,SAN US Equity,10.265,45654743.07692308,206904934.3283582,XMAD,0.22065565147165117,10.16427
SAND SS Equity,262954.0,ETF,B1VQ252,Sandvik AB,2025-09-25,SEK,SWEDEN,SDVKY US Equity,27.856,505266.8476923077,38743433.13432836,XSTO,0.013041354542342285,27.29484
